,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
154,0.48902298461186,4,AGR3,199.27437334509113,1.0405144508059583,-11429.643324574165,-3.542111517880331,0.8998841212051866,SE,10408,5.314787017915723e-07,9.962561309673292e-06,0.004443168640136719,22896.2879692291,-14647.070359155234,3217.427034581069,0.0,0.0
368,0.4884204914137657,4,SCD,199.27437334509113,1.0430263662891348,-11906.705471988076,-5.5933921035496486,1.6669361722322493,SE,10408,6.202211060432928e-07,1.1627031240570707e-05,0.006104946136474609,23850.412264056922,-15079.259523821545,3172.554051833469,0.0,0.0
266,0.4913339197635067,4,HMGA1,199.27437334509113,1.0309368272700548,-10200.12317663632,-6.264360498944768,1.8559938112491194,SE,10408,6.463397236784184e-07,1.2112168294395222e-05,0.007962942123413086,20437.24767335341,-13356.080630774979,3155.957454138659,0.0,0.0
226,0.47079241813820055,4,CXCR4,199.27437334509113,1.1193673116134883,-12440.831187193571,-3.314347098070766,0.8916009223225229,SE,10408,6.948032046728809e-07,1.3084388139911015e-05,0.008872270584106445,24918.663694467912,-15524.384735414316,3083.553548220745,0.0,0.0
388,0.4337955311769754,4,SPIB,199.27437334509113,1.2997632152584093,-11395.942660485014,-2.756085079930685,0.6215024848383928,SE,10408,6.638397410488281e-07,1.2785691324221294e-05,0.008180856704711914,22828.886641050798,-14475.869689436513,3079.927028951499,0.0,0.0
469,0.5798035997245683,4,PPARG,756.374000178828,0.7095824043109116,-11635.551551866029,-4.149191841437637,0.8207418141223699,SE,10408,1.0765472988150915e-05,0.00021002177909224386,0.005078792572021484,23308.104423812827,-14715.345573089719,3079.79402122369,0.0,0.0
152,0.5123037718954174,4,ADH1B,199.27437334509113,0.9479771430538853,-12297.963374243976,-1.6963332560989626,0.6424921022339805,SE,10408,6.320588386972914e-07,1.1850238860191863e-05,0.015607118606567383,24632.928068568723,-15312.261824310623,3014.298450066646,0.0,0.0
408,0.4426358656522267,4,TOMM7,199.27437334509113,1.2539159912137974,-6227.986993104705,-4.173817827958733,0.7893624854336012,SE,10408,5.827964261488727e-07,1.1146448405066018e-05,0.004243135452270508,12492.97530629018,-9229.778257708313,3001.7912646036075,0.0,0.0
373,0.4193345482686969,4,SELL,199.27437334509113,1.378927285811205,-11925.397107468889,-2.6353997929117483,0.6111938257991003,SE,10408,7.208646695971424e-07,1.4075861463993342e-05,0.00463104248046875,23887.795535018548,-14894.95267249066,2969.5555650217702,0.0,0.0
194,0.42427401441981527,4,CD3E,199.27437334509113,1.3512802255909306,-12710.11222110187,-3.4572973154101985,0.8648022326126883,SE,10408,6.754497395084755e-07,1.3123182898595069e-05,0.003960132598876953,25457.22576228451,-15678.079670631394,2967.967449529524,0.0,0.0
305,0.514847715604254,4,LYPD3,199.27437334509113,0.9383725896327003,-12181.047051254845,-6.020345126837573,1.9498519194070563,SE,10408,5.468385902808267e-07,1.0256936169588944e-05,0.007712125778198242,24399.09542259046,-15127.250246282481,2946.203195027636,0.0,0.0
239,0.4436003681644405,4,EGFR,199.27437334509113,1.2490245043985584,-11418.21283341442,-6.229144064089186,1.8221457507167518,SE,10408,6.569255966957228e-07,1.2555419485635651e-05,0.0051898956298828125,22873.42698690961,-14346.970599429329,2928.757766014909,0.0,0.0
410,0.47023149503871564,4,TPD52,199.27437334509113,1.1218904331694717,-10001.708153188654,-5.864350665341544,1.6173460006009535,SE,10408,6.904231004547949e-07,1.3004620799052385e-05,0.013543128967285156,20040.41762645808,-12862.457814769325,2860.7496615806704,0.0,0.0
229,0.46163544159010994,4,DMKN,199.27437334509113,1.161323837533456,-11827.189351361076,-5.505109057233077,1.5648687934719827,SE,10408,6.302692920473223e-07,1.1915658041372876e-05,0.003988027572631836,23691.38002280292,-14681.85020818752,2854.6608568264437,0.0,0.0
398,0.3994545539099898,4,TCF7,199.27437334509113,1.497112802527188,-11373.13783293002,-3.7409796026101705,0.8109704831230169,SE,10408,6.699369832216156e-07,1.3393989878425736e-05,0.005901813507080078,22783.27698594081,-14198.701593521271,2825.5637605912507,0.0,0.0
323,0.47400842669248844,4,MZB1,199.27437334509113,1.1050164592871472,-13730.586806483761,-2.8520180336794465,0.9210113619117921,SE,10408,7.319639152153316e-07,1.3768746806298623e-05,0.011245250701904297,27498.174933048293,-16532.472551015788,2801.8857445320264,0.0,0.0
377,0.48663107601688216,4,SFRP1,199.27437334509113,1.0505234692821739,-12311.315371006898,-2.8525644871227183,0.7998521212123522,SE,10408,6.836414865111592e-07,1.2819550087744917e-05,0.006091117858886719,24659.632062094566,-15110.104673181013,2798.7893021741147,0.0,0.0
157,0.4215626943639533,4,AKR1C3,199.27437334509113,1.3663757499918137,-11806.973156519478,-4.513436531939063,1.1101457705856066,SE,10408,6.446809790476948e-07,1.2559342039534102e-05,0.004288911819458008,23650.947633119726,-14604.049530198869,2797.0763736793906,0.0,0.0
417,0.37746123838327966,4,TUBB2B,199.27437334509113,1.6423664312086872,-11571.843762112258,-3.843492510808413,0.8188902819767696,SE,10408,6.500114553831296e-07,1.3429697074456928e-05,0.010555028915405273,23180.688844305285,-14365.79833987129,2793.954577759032,0.0,0.0
325,0.45812391755212506,4,NCAM1,199.27437334509113,1.1778582801294115,-12084.481216631808,-2.1301425306995045,0.5912897086326145,SE,10408,7.542558219947692e-07,1.4285206477490998e-05,0.010386943817138672,24205.963753344386,-14872.844509103381,2788.363292471573,0.0,0.0
280,0.4886617604022168,4,JUP,199.27437334509113,1.042019723713698,-11099.524976839382,-7.142325790320482,2.36981470708747,SE,10408,6.789965950896258e-07,1.2728428188402687e-05,0.012735843658447266,22236.051273759535,-13885.919472573027,2786.3944957336444,0.0,0.0
370,0.43341199596124735,4,SDC4,199.27437334509113,1.3017946144159014,-11211.685757166122,-6.88637906458364,2.1134792804611253,SE,10408,6.760928354318087e-07,1.3025952712856692e-05,0.0059049129486083984,22460.372834413014,-13970.885566828762,2759.1998096626394,0.0,0.0
364,0.40318760320694336,4,RUNX1,199.27437334509113,1.474031240245999,-9011.463836012494,-4.378661637064112,0.9001103014000744,SE,10408,6.465478387492173e-07,1.2863655343281954e-05,0.0038530826568603516,18059.928992105757,-11740.417904609958,2728.9540685974644,0.0,0.0
380,0.42118636435419415,4,SLAMF7,199.27437334509113,1.3684863619780918,-13014.24102302604,-3.9237602088279093,1.0131033086543868,SE,10408,6.83629242240947e-07,1.3323224360258234e-05,0.004038095474243164,26065.48336613285,-15709.788458067804,2695.5474350417644,0.0,0.0
227,0.407349287777263,4,CYTIP,199.27437334509113,1.4487981145337983,-11792.387438043086,-3.1249288750809168,0.6903265110447716,SE,10408,7.353562090431312e-07,1.4554909406480867e-05,0.012865066528320312,23621.776196166942,-14465.382256755953,2672.9948187128666,0.0,0.0
447,0.44239289480976096,4,ZEB2,199.27437334509113,1.2551515842111434,-10759.662162818948,-1.7595784251293254,0.4231173838978582,SE,10408,7.458352176174877e-07,1.4267243936760249e-05,0.007280111312866211,21556.325645718665,-13395.426477138817,2635.7643143198693,0.0,0.0
254,0.43039300503258937,4,FLNB,199.27437334509113,1.3179111502804834,-9728.623341610732,-5.288212798620828,1.2941796395379508,SE,10408,6.847411022534417e-07,1.3227532734076e-05,0.014142990112304688,19494.248003302233,-12364.04756907697,2635.4242274662392,0.0,0.0
343,0.4361911225937527,4,PDK4,199.27437334509113,1.287155776277589,-11916.954848914469,-2.158795963844399,0.5493643928729486,SE,10408,6.827375516709284e-07,1.3123387498886473e-05,0.008304119110107422,23870.911017909708,-14550.43177962673,2633.4769307122606,0.0,0.0
183,0.4165401622860831,4,CCL5,199.27437334509113,1.3948583537722417,-13818.948689870747,-4.1755846262712755,1.151924772693415,SE,10408,6.946426811547797e-07,1.3604357037516269e-05,0.007070779800415039,27674.898699822264,-16448.20894567486,2629.2602558041144,0.0,0.0
162,0.3889672833505589,4,ANKRD30A,199.27437334509113,1.5643265399332253,-11298.151403806369,-2.9018443786899764,0.5870254824492531,SE,10408,6.159001882862876e-07,1.2496705707835536e-05,0.014798164367675781,22633.304127693507,-13895.72280909802,2597.571405291652,0.0,0.0
187,0.40632936171689277,4,CCR7,199.27437334509113,1.4549343150686396,-11772.521788424454,-2.7178833100273523,0.5991849742506394,SE,10408,7.676558371188287e-07,1.5213188309179026e-05,0.006841897964477539,23582.044896929678,-14342.600529723899,2570.078741299445,0.0,0.0
290,0.46749761435402254,4,KRT23,199.27437334509113,1.1342745336361706,-12269.43215017179,-5.081459621430042,1.4410649663471706,SE,10408,6.932138891998659e-07,1.3071246477772436e-05,0.0032150745391845703,24575.86562042435,-14822.005719163477,2552.5735689916874,0.0,0.0
170,0.3881734378688471,4,BACE2,199.27437334509113,1.569562220143344,-10193.260401838088,-4.633976762701394,1.013013560947109,SE,10408,7.231041887395708e-07,1.4689269698428818e-05,0.006142377853393555,20423.522123756946,-12744.212751501062,2550.9523496629736,0.0,0.0
361,0.3775739830273218,4,RHOH,199.27437334509113,1.641578664686085,-11369.470650324227,-2.938565669623928,0.5842925835720977,SE,10408,7.418682039578578e-07,1.5324652655673908e-05,0.012929916381835938,22775.942620729224,-13901.024355423342,2531.553705099115,0.0,0.0
366,0.39110497855614734,4,S100A4,199.27437334509113,1.550333393206874,-10458.221417278617,-4.025268934821732,0.8346824731671718,SE,10408,6.622647608311761e-07,1.339531272385649e-05,0.004728078842163086,20953.444154638004,-12971.772450993773,2513.5510337151554,0.0,0.0
233,0.4595207787401441,4,DSC2,199.27437334509113,1.1712507195533144,-11777.67581751585,-6.786888134610457,2.1602787100819283,SE,10408,7.429913559694445e-07,1.4061597855901299e-05,0.01104116439819336,23592.35295511247,-14287.430588852396,2509.7547713365457,0.0,0.0
243,0.39615873985818123,4,ERBB2,199.27437334509113,1.5178524851257738,-10290.138698802783,-5.859605475853189,1.5034426445608393,SE,10408,6.900664971330987e-07,1.385814545823501e-05,0.00436711311340332,20617.278717686335,-12795.97206278237,2505.8333639795874,0.0,0.0
180,0.4457851640467608,4,CAVIN2,199.27437334509113,1.2380225616000802,-12159.610586092142,-2.15628788813118,0.58176012161523,SE,10408,7.107827906808351e-07,1.3563809240704402e-05,0.0061953067779541016,24356.222492265053,-14641.530440250694,2481.919854158552,0.0,0.0
