,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g171,0.9992932419978116,0.4234377992167749,1.3395159586304278e-05,0.4155985447658752,0.41358641358641357,6.4353889460734324e-06,0.45490447630032754,0.44369951398492014,0.4447165737488318,0,null,geary
sim_g217,0.9993829493529084,0.4330572746895458,1.3395159586304278e-05,0.04747075526832445,0.04995004995004995,7.5584967551009645e-06,0.46065111283639787,0.09557870188253245,0.09794127441186265,0,null,geary
sim_g264,0.9993968126009608,0.4345475497756687,1.3395159586304278e-05,0.37490874291207876,0.38461538461538464,7.078290426958313e-06,0.46065111283639787,0.42124577855289747,0.4289390906491279,0,null,geary
sim_g245,0.9996234822430975,0.4590309329171309,1.3395159586304278e-05,0.31412522960005107,0.3036963036963037,7.134554670058914e-06,0.4743469947964513,0.36811550343755983,0.35987634412831265,0,null,geary
sim_g123,0.9996334935807689,0.46011658495255775,1.3395159586304278e-05,0.26494636703997576,0.25674325674325676,7.16922752327169e-06,0.4743469947964513,0.32709428029626636,0.3274036887482265,1,gp,geary
sim_g239,0.9996924038640167,0.4665107077012935,1.3395159586304278e-05,0.11065862837682405,0.11188811188811189,6.524776580997147e-06,0.47929182298078093,0.18341209123230504,0.18544990920681526,0,null,geary
sim_g105,0.9997205610875514,0.469570051444409,1.3395159586304278e-05,0.14435137270426496,0.13486513486513488,7.048219383390402e-06,0.4805652550010712,0.22554901985041398,0.21294494978705508,1,stripes,geary
sim_g207,0.9997332925165129,0.4709539499010498,1.3395159586304278e-05,0.2897763469117738,0.27972027972027974,6.982346400391847e-06,0.4805652550010712,0.3477316162941285,0.3383713061132416,0,null,geary
sim_g172,0.9997575443393174,0.4735910648461127,1.3395159586304278e-05,0.4822088091284974,0.4955044955044955,7.041220100599219e-06,0.4816180320468943,0.4911936638338598,0.4971617011750791,0,null,geary
sim_g221,0.9998165500127574,0.4800118783880656,1.3395159586304278e-05,0.3817394292947338,0.3966033966033966,6.878552681041145e-06,0.4864985253933097,0.4273202566732095,0.4342372955511642,0,null,geary
sim_g196,0.999904567433042,0.48959879838144316,1.3395159586304278e-05,0.31536966034228253,0.3196803196803197,6.0041092423986765e-06,0.4945442407893365,0.36813579028282006,0.3717213019538601,0,null,geary
sim_g184,0.9999361826089496,0.49304410274031435,1.3395159586304278e-05,0.4846444149827417,0.4755244755244755,7.345067692998961e-06,0.495187720393378,0.4911936638338598,0.48688512852335375,0,null,geary
sim_g188,0.9999580055814323,0.4954226074013736,1.3395159586304278e-05,0.18048348611374393,0.1798201798201798,7.071083676585536e-06,0.4954226074013736,0.2579438091029845,0.2581150906509758,0,null,geary
sim_g018,1.000059293989605,0.4935370946587334,1.3395159586304278e-05,0.11290852376361604,0.11288711288711288,7.687482176487683e-06,0.495187720393378,0.18611295125870775,0.18607765860513112,1,hotspot,geary
sim_g222,1.000417523951296,0.45458740315740975,1.3395159586304278e-05,0.18811133119853674,0.19880119880119881,6.908384729772802e-06,0.4718900378796641,0.26051273511131995,0.27484036700626563,0,null,geary
sim_g211,1.000437966914634,0.4523742403078349,1.3395159586304278e-05,0.39117200913333006,0.4065934065934066,6.895746655679374e-06,0.471223166987328,0.43242745959507484,0.440353869956758,0,null,geary
sim_g260,1.00048889571525,0.4468672471833566,1.3395159586304278e-05,0.3008616485890021,0.3046953046953047,7.002606855558689e-06,0.4671086207491532,0.3595955959231101,0.35987634412831265,0,null,geary
sim_g233,1.00050601361821,0.44501851189966346,1.3395159586304278e-05,0.007906506874413743,0.003996003996003996,6.573725652961077e-06,0.46680263485978685,0.022167776283403016,0.012358775245373184,0,null,geary
sim_g278,1.0005432360367685,0.44100266510027963,1.3395159586304278e-05,0.39139512131639365,0.3906093906093906,6.910725784734096e-06,0.4642133316845049,0.43242745959507484,0.434010434010434,0,null,geary
sim_g249,1.000555045454416,0.43972981887628515,1.3395159586304278e-05,0.34643446530558486,0.3596403596403596,7.2933476476790424e-06,0.4642133316845049,0.3969602844505796,0.4071400297815392,0,null,geary
sim_g126,1.0006731001586175,0.4270419630218255,1.3395159586304278e-05,0.33183968317091617,0.34165834165834164,6.579332394596859e-06,0.4559166865001696,0.3828919421202879,0.39422116345193264,1,gp,geary
sim_g164,1.000696108359535,0.42457751121363907,1.3395159586304278e-05,0.4786520453689199,0.47952047952047955,7.348484590668534e-06,0.45490447630032754,0.4911936638338598,0.48866387849438697,0,null,geary
sim_g281,1.0007100360151358,0.42308711862781767,1.3395159586304278e-05,0.42646298382650694,0.43156843156843155,7.2206454816946814e-06,0.45490447630032754,0.4504890674223665,0.4558821460229911,0,null,geary
sim_g220,1.000839010973503,0.40934051644692526,1.3395159586304278e-05,0.31378349708611775,0.3146853146853147,6.902125140168532e-06,0.44493534396404916,0.36811550343755983,0.3685030922385008,0,null,geary
sim_g237,1.000856484472056,0.40748627950762695,1.3395159586304278e-05,0.42939946099416887,0.43456543456543456,6.589047700744785e-06,0.44453048673559303,0.45199943262544096,0.45743729954256274,0,null,geary
sim_g295,1.0009143744157525,0.4013581787400584,1.3395159586304278e-05,0.10125729607826317,0.0959040959040959,6.946454743837955e-06,0.4394432613942245,0.17065836417684802,0.16535188948982055,0,null,geary
sim_g226,1.0009458034994962,0.39804119666486204,1.3395159586304278e-05,0.09378012251148837,0.0939060939060939,7.270275942085754e-06,0.4374079084229253,0.16076592430540862,0.1628429374094114,0,null,geary
sim_g282,1.0011393669823452,0.3777834058334627,1.3395159586304278e-05,0.2847419693370328,0.27372627372627373,7.135502348045475e-06,0.42131978345739335,0.34306261365907564,0.3379336712670046,0,null,geary
sim_g283,1.0011681555624103,0.3747975006874489,1.3395159586304278e-05,0.030767904401207913,0.02197802197802198,6.941296086110043e-06,0.4195494410680398,0.0673749731413312,0.05274725274725275,0,null,geary
sim_g242,1.0012262219357395,0.3687979000470788,1.3395159586304278e-05,0.3314963303236227,0.32167832167832167,6.867888321985547e-06,0.41593748125610386,0.3828919421202879,0.3726003726003726,0,null,geary
sim_g161,1.001328077021774,0.3583515445662888,1.3395159586304278e-05,0.031267098404135885,0.03496503496503497,6.4372823817744716e-06,0.4087660204178199,0.06797195305246931,0.07601094557616297,0,null,geary
sim_g274,1.0014024604414051,0.350788625959355,1.3395159586304278e-05,0.049862225174387764,0.055944055944055944,6.706767555843756e-06,0.40475610687617886,0.09776906896938777,0.10758472296933835,0,null,geary
sim_g187,1.0014223980089139,0.34877133822118644,1.3395159586304278e-05,0.2712681734987279,0.2757242757242757,6.993785703056904e-06,0.40398224504384533,0.3335264428263048,0.3383713061132416,0,null,geary
sim_g080,1.0014391745677753,0.34707718532676723,1.3395159586304278e-05,0.2432620289993923,0.25874125874125875,6.618007139872531e-06,0.4035781224729852,0.314562968533697,0.3274036887482265,1,stripes,geary
sim_g251,1.0015438670346875,0.3365750903888173,1.3395159586304278e-05,0.4040815375449215,0.3936063936063936,6.607366304509165e-06,0.3991008976942497,0.4411220096538601,0.4341246988305812,0,null,geary
