,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g140,0.006571389079995311,0.03407041305145553,1.3395159586304278e-05,0.007802436523579037,0.007992007992007992,7.443309879811478e-06,0.09734403728987294,0.022067063878883915,0.02199635227158163,1,hotspot,moran
sim_g108,0.006384415242771615,0.038115363735147456,1.3395159586304278e-05,0.010845543104861854,0.011988011988011988,7.794515085436048e-06,0.10787367094853054,0.029578753922350515,0.0324000324000324,1,gp,moran
sim_g029,0.0061535514299626524,0.04364133018704308,1.3395159586304278e-05,0.012872766974177496,0.013986013986013986,7.306279816716667e-06,0.12011375280837545,0.03387570256362499,0.03713101058233802,1,stripes,moran
sim_g075,0.006122632516672703,0.044428199902855625,1.3395159586304278e-05,0.011648995355109215,0.014985014985014986,7.467089871876572e-06,0.12049990558567555,0.031202666129756824,0.03875434909917669,1,gp,moran
sim_g112,0.006116525461265603,0.044584965066699955,1.3395159586304278e-05,0.015147171062363296,0.02097902097902098,7.55726449868412e-06,0.12049990558567555,0.038254667586463044,0.04995004995004995,1,gp,moran
sim_g095,0.006098865418656832,0.04504079825921825,1.3395159586304278e-05,0.013277683257493678,0.014985014985014986,7.451842757621639e-06,0.12064499533719174,0.03433883601075951,0.03875434909917669,1,gp,moran
sim_g085,0.006015580632914803,0.04724129544759548,1.3395159586304278e-05,0.018817300831143413,0.015984015984015984,8.149036645311505e-06,0.12431919854630388,0.046272051224123145,0.04029583861516635,1,stripes,moran
sim_g081,0.005940693920241188,0.04929271379050304,1.3395159586304278e-05,0.010486712109093577,0.007992007992007992,7.093431231261363e-06,0.12858968814913835,0.02886251039200067,0.02199635227158163,1,hotspot,moran
sim_g248,0.005838792167491245,0.05219772114293331,1.3395159586304278e-05,0.02011325574007039,0.016983016983016984,7.68395895523159e-06,0.1329628165152963,0.04827181377616893,0.04210665367690161,0,null,moran
sim_g009,0.005835331748664941,0.052298707829349866,1.3395159586304278e-05,0.013267390745418606,0.014985014985014986,6.946194563244303e-06,0.1329628165152963,0.03433883601075951,0.03875434909917669,1,stripes,moran
