,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g110,0.018498057452208665,1.8597469830794466e-07,1.3395159586304278e-05,1.5573076161956578e-10,0.000999000999000999,8.630220567945012e-06,4.499387862288984e-07,3.7983112590137997e-10,0.002038777548981631,1,stripes,moran
sim_g130,0.018362809375089103,2.2578206160250858e-07,1.3395159586304278e-05,2.344189287128984e-10,0.000999000999000999,8.749642804425018e-06,5.418769478460206e-07,5.581403064592819e-10,0.002038777548981631,1,gp,moran
sim_g031,0.01808254642915514,3.3606000338082254e-07,1.3395159586304278e-05,7.838300009055388e-10,0.000999000999000999,8.949535294554286e-06,8.001428651924346e-07,1.8515669312729261e-09,0.002038777548981631,1,gp,moran
sim_g017,0.017761655949337554,5.26210423235085e-07,1.3395159586304278e-05,1.9669466055916018e-10,0.000999000999000999,8.041504975948716e-06,1.2430167477994135e-06,4.720671853419845e-10,0.002038777548981631,1,gp,moran
sim_g124,0.01693392305781488,1.6166488039370819e-06,1.3395159586304278e-05,4.160951583287442e-09,0.000999000999000999,8.542079909908762e-06,3.7890206342275352e-06,9.752230273329943e-09,0.002038777548981631,1,gp,moran
sim_g009,0.01665254162771694,2.341242190895265e-06,1.3395159586304278e-05,7.3347742324259e-09,0.000999000999000999,8.645264922845098e-06,5.44474928115178e-06,1.705761449401372e-08,0.002038777548981631,1,stripes,moran
sim_g023,0.01590991160033631,6.0542451933987e-06,1.3395159586304278e-05,1.519568082475331e-08,0.000999000999000999,8.443368979237482e-06,1.3971335061689307e-05,3.506695574943072e-08,0.002038777548981631,1,gp,moran
sim_g117,0.015207476329714266,1.4340135575663382e-05,1.3395159586304278e-05,5.4514580738462826e-08,0.000999000999000999,8.218282301787986e-06,3.2840005135106984e-05,1.2484255130945686e-07,0.002038777548981631,1,gp,moran
sim_g051,0.015027175784447655,1.7791322386218056e-05,1.3395159586304278e-05,5.693716542687355e-08,0.000999000999000999,8.06358664639108e-06,4.043482360504104e-05,1.294026486974399e-07,0.002038777548981631,1,gp,moran
sim_g114,0.014339918723284007,3.9624754487821434e-05,1.3395159586304278e-05,3.2964804519419744e-07,0.000999000999000999,8.386775074860756e-06,8.937914546125135e-05,7.435670192350318e-07,0.002038777548981631,1,gp,moran
sim_g061,0.01395754367537164,6.0972529781877505e-05,1.3395159586304278e-05,2.5012912593380676e-06,0.000999000999000999,9.314454543615692e-06,0.00013650566369077054,5.517554248539855e-06,0.002038777548981631,1,gp,moran
sim_g083,0.01339650338588121,0.00011261711573906652,1.3395159586304278e-05,1.1242016426660228e-06,0.000999000999000999,7.993809700294887e-06,0.0002502602571979256,2.498225872591162e-06,0.002038777548981631,1,gp,moran
sim_g266,0.013288085111935811,0.0001264686466653231,1.3395159586304278e-05,5.565954150910102e-07,0.000999000999000999,7.523727884610871e-06,0.0002789749558793892,1.2461091382634558e-06,0.002038777548981631,0,null,moran
sim_g074,0.012466954134639005,0.0002963742351249632,1.3395159586304278e-05,5.382206360149411e-06,0.000999000999000999,8.153001411725486e-06,0.0006489946754561238,1.178585334339287e-05,0.002038777548981631,1,gp,moran
sim_g123,0.01227673572386722,0.00035857423157470425,1.3395159586304278e-05,1.1412496574214614e-05,0.000999000999000999,8.4846087355471e-06,0.000779509199075444,2.4809775161336116e-05,0.002038777548981631,1,gp,moran
sim_g029,0.011567337483965842,0.0007135576625276752,1.3395159586304278e-05,1.5968651909892273e-05,0.000999000999000999,7.659919435830635e-06,0.0015400525090525363,3.446471635228548e-05,0.002038777548981631,1,stripes,moran
sim_g224,0.011540754077364511,0.0007316962410510719,1.3395159586304278e-05,2.474261252638499e-05,0.000999000999000999,7.71843009786544e-06,0.0015679205165380111,5.3019883985110685e-05,0.002038777548981631,0,null,moran
sim_g090,0.01110855604175516,0.0010928786638741972,1.3395159586304278e-05,3.1771761667132026e-05,0.000999000999000999,7.763521447244227e-06,0.002325273752923824,6.759949290879154e-05,0.002038777548981631,1,stripes,moran
sim_g217,0.009956899947899741,0.002988025315463716,1.3395159586304278e-05,0.00013323707517975958,0.000999000999000999,7.461631385770014e-06,0.006312729539712076,0.00028148677854878784,0.002038777548981631,0,null,moran
sim_g194,0.009520762118277942,0.004270156860343155,1.3395159586304278e-05,0.0003506304474673039,0.000999000999000999,7.827605273607413e-06,0.00895837103568494,0.0007304800988902165,0.002038777548981631,0,null,moran
sim_g020,0.009466193834389403,0.004461142148154407,1.3395159586304278e-05,0.0003009867447246739,0.001998001998001998,7.698459074708989e-06,0.009294046141988348,0.0006314407231986166,0.003969540393381453,1,stripes,moran
sim_g105,0.009083442382921574,0.006029057000044191,1.3395159586304278e-05,0.0005658641950276877,0.000999000999000999,7.783948971776485e-06,0.012473911034574188,0.0011627346473171664,0.002038777548981631,1,stripes,moran
sim_g068,0.00892814985220498,0.006793351107112433,1.3395159586304278e-05,0.000704535020299546,0.000999000999000999,7.915740893497193e-06,0.013958940631052944,0.0014281115276342147,0.002038777548981631,1,gp,moran
sim_g237,0.008738318038043142,0.00784298818761886,1.3395159586304278e-05,0.0006640418967944761,0.001998001998001998,7.4512088649930105e-06,0.015897949028957147,0.0013551875444785227,0.003969540393381453,0,null,moran
sim_g138,0.008721477477781006,0.007942656864414754,1.3395159586304278e-05,0.0011235778224840676,0.004995004995004995,8.402705504880062e-06,0.015991926572647155,0.0022322738195047704,0.009605778836548068,1,gp,moran
